"timestamp","message"
"2026-03-02T13:22:52.520667Z","[13:22:52] Trading loop iteration 841"
"2026-03-02T13:22:52.532658Z","[13:22:52] Fetched 10000 bars - Processing..."
"2026-03-02T13:23:05.790228Z","[13:23:05] Signal balance: Bullish=2521, Bearish=2616"
"2026-03-02T13:23:05.909890Z","[13:23:05] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:23:37.202706Z","[13:23:37] Last bar median predicted return: 0.0000128"
"2026-03-02T13:23:37.207705Z","[13:23:37] Last bar signals: Bullish=False, Bearish=True"
"2026-03-02T13:23:37.211707Z","[13:23:37] Current open trades: 0"
"2026-03-02T13:23:37.214706Z","[13:23:37] ROC (EWMA-vol): 0.27 (delta=0.0000016, sigma=0.0000030)"
"2026-03-02T13:23:37.216707Z","[13:23:37] No static trade: |median| 0.0000128 not in ranges"
"2026-03-02T13:23:37.218705Z","[13:23:37] No trade executed"
"2026-03-02T13:23:37.221706Z","[13:23:37] About to save prediction..."
"2026-03-02T13:23:37.227706Z","[13:23:37] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:23:37.243252Z","[13:23:37] Created new predictions CSV"
"2026-03-02T13:23:37.249245Z","[13:23:37] Prediction saved successfully to CSV"
"2026-03-02T13:23:37.258247Z","[13:23:37] Prediction generated: median_return=0.0000128, action=None, executed=False, roc=0.27, flip_consec=2, pause_flips=False"
"2026-03-02T13:24:37.269894Z","[13:24:37] Trading loop iteration 842"
"2026-03-02T13:24:37.282668Z","[13:24:37] Fetched 10000 bars - Processing..."
"2026-03-02T13:24:57.885162Z","[13:24:57] Signal balance: Bullish=2520, Bearish=2616"
"2026-03-02T13:24:57.900801Z","[13:24:57] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:25:42.609266Z","[13:25:42] Last bar median predicted return: 0.0000057"
"2026-03-02T13:25:42.613269Z","[13:25:42] Last bar signals: Bullish=False, Bearish=True"
"2026-03-02T13:25:42.617269Z","[13:25:42] Current open trades: 0"
"2026-03-02T13:25:42.624265Z","[13:25:42] ROC (EWMA-vol): -0.49 (delta=-0.0000030, sigma=0.0000030)"
"2026-03-02T13:25:42.629265Z","[13:25:42] No static trade: |median| 0.0000057 not in ranges"
"2026-03-02T13:25:42.640753Z","[13:25:42] No trade executed"
"2026-03-02T13:25:42.644749Z","[13:25:42] About to save prediction..."
"2026-03-02T13:25:42.646750Z","[13:25:42] Attempting to save prediction to: predictions_2026-03-02.csv"
"2026-03-02T13:25:42.667105Z","[13:25:42] Appended to existing predictions CSV"
"2026-03-02T13:25:42.673632Z","[13:25:42] Prediction saved successfully to CSV"
"2026-03-02T13:25:42.673632Z","[13:25:42] Prediction generated: median_return=0.0000057, action=None, executed=False, roc=-0.49, flip_consec=2, pause_flips=False"
"2026-03-02T13:26:42.691416Z","[13:26:42] Trading loop iteration 843"
"2026-03-02T13:26:42.707637Z","[13:26:42] Fetched 10000 bars - Processing..."
"2026-03-02T13:26:52.730574Z","[13:26:52] Signal balance: Bullish=2522, Bearish=2618"
"2026-03-02T13:26:52.746222Z","[13:26:52] Data processed. Shape reduced from (10000, 25) to (9967, 25)"
"2026-03-02T13:27:00.547937Z","[13:27:00] Last bar median predicted return: -0.0000057"
"2026-03-02T13:27:00.547937Z","[13:27:00] Last bar signals: Bullish=False, Bearish=True"
"2026-03-02T13:27:00.547937Z","[13:27:00] Current open trades: 0"
"2026-03-02T13:27:00.562468Z","[13:27:00] ROC (EWMA-vol): -0.53 (delta=-0.0000081, sigma=0.0000076)"
